postal_code,postal_code_score
8978,2.69
8956,2.69
8954,2.69
8953,2.69
8950,2.69
8952,2.69
8951,2.69
8957,2.69
6743,2.7
6742,2.7
6741,2.7
6740,2.7
6723,2.7
6724,2.7
6721,2.7
6720,2.7
6747,2.7
6730,2.7
6750,2.7
6767,2.7
6761,2.7
1020,2.7
9500,2.7
6824,2.7
6760,2.7
6821,2.7
6820,2.7
6823,2.7
6812,2.7
6811,2.7
6810,2.7
6769,2.7
6762,2.7
6813,2.7
4761,2.75
4770,2.75
4771,2.75
4780,2.75
4782,2.75
4800,2.75
4784,2.75
4790,2.75
4791,2.75
4760,2.75
4783,2.75
4750,2.75
4710,2.75
4730,2.75
4728,2.75
4721,2.75
4720,2.75
4711,2.75
4801,2.75
4701,2.75
4700,2.75
4654,2.75
4653,2.75
4652,2.75
4651,2.75
4650,2.75
4731,2.75
4802,2.75
4840,2.75
4821,2.75
1140,2.75
8400,2.75
4990,2.75
4987,2.75
4983,2.75
4980,2.75
4970,2.75
4960,2.75
4950,2.75
4910,2.75
4900,2.75
4820,2.75
4890,2.75
4877,2.75
4861,2.75
4860,2.75
4852,2.75
4851,2.75
4850,2.75
4845,2.75
4841,2.75
4837,2.75
4834,2.75
1400,2.75
4830,2.75
4880,2.75
4831,2.75
2610,2.79
9100,2.79
8420,2.805
8434,2.805
8450,2.805
8460,2.805
8470,2.805
8433,2.805
8432,2.805
8431,2.805
8430,2.805
8480,2.805
8421,2.805
6600,2.85
8530,2.85
8520,2.85
8511,2.85
8510,2.85
8501,2.85
6674,2.85
6673,2.85
6672,2.85
6671,2.85
6662,2.85
6661,2.85
6660,2.85
6666,2.85
6670,2.85
6642,2.85
6640,2.85
6637,2.85
6663,2.85
8540,2.85
2300,2.85
8551,2.85
6698,2.85
6692,2.85
6690,2.85
6688,2.85
6687,2.85
6686,2.85
6681,2.85
6680,2.85
8930,2.85
8860,2.85
8793,2.85
8550,2.85
8791,2.85
8792,2.85
8531,2.85
8583,2.85
8582,2.85
8581,2.85
8580,2.85
8573,2.85
8552,2.85
8553,2.85
8554,2.85
8587,2.85
8560,2.85
8570,2.85
8572,2.85
8610,2.871485
8650,2.871485
8647,2.871485
8600,2.871485
8680,2.871485
1480,2.89
3800,2.90484
9988,2.95
9992,2.95
9991,2.95
9990,2.95
9981,2.95
9982,2.95
9060,2.95
9900,2.95
9960,2.95
9961,2.95
9968,2.95
9970,2.95
9971,2.95
9980,2.95
8370,2.95
9300,2.95
3740,2.96068
3631,2.96068
3621,2.96068
3630,2.96068
3700,2.96068
3717,2.96068
3720,2.96068
3721,2.96068
3722,2.96068
3723,2.96068
3724,2.96068
3730,2.96068
3732,2.96068
3620,2.96068
3570,2.96068
3746,2.96068
